sample,group,mass
QC-1,9,
QC-2,9,
QC-3,9,
S1-1,1,0.3009
S1-2,1,0.3009
S2-1,1,0.278
S2-2,1,0.278
S3-1,2,0.2596
S3-2,2,0.2596
S4-1,2,0.301
S4-2,2,0.301
S5-1,3,0.3058
S5-2,3,0.3058
S6-1,4,0.3057
S6-2,4,0.3057
S7-1,5,0.3033
S7-2,5,0.3033
S8-1,6,0.3008
S8-2,6,0.3008
Bk-1,0,
Bk-2,0,
